   API Well Number, Well Name, Operator Name,Year,OIL (Bbls),GAS (Mcf),WATER (Bbls),Months in Production,Well Type, 
   31-013-24166-00-00  ,  Smith Unit 3  ,  Universal Resources Holdings Inc.  ,2009,,1143.00,0.00,12,Gas Development, 
   31-013-10370-00-00  ,  Smith Unit 52  ,  Greenway Energy LLC  ,2009,0.00,177.00,0.00,12,Gas Development, 
   31-013-10919-00-00  ,  Smith Unit 69  ,  Greenway Energy LLC  ,2009,0.00,765.00,0.00,12,Gas Development, 
   31-029-03334-00-00  ,  Smith W 1  ,  Iroquois Gas Corp.  ,2009,0.00,0.00,0.00,0,Gas Development, 
   31-013-10472-00-00  ,  Smith W&M Fee 4  ,  PPP Future Development Inc.  ,2009,0.00,30.00,0.00,12,Gas Development, 
   31-037-19474-00-00  ,  Smith; G. 1  ,  United States Gypsum Company  ,2009,0.00,187.00,0.00,12,Gas Development, 
   31-037-19681-00-00  ,  Smith; G. 2  ,  United States Gypsum Company  ,2009,0.00,296.00,0.00,12,Gas Development, 
   31-037-19682-00-00  ,  Smith; G. 3  ,  United States Gypsum Company  ,2009,0.00,88.00,0.00,12,Gas Development, 
   31-017-22928-00-00  ,  Smith; J. 1  ,  Norse Energy Corp USA  ,2009,0.00,0.00,0.00,0,Gas Wildcat, 
   31-029-22386-00-00  ,  Smith; M 1a  ,  Greenway Energy LLC  ,2009,0.00,2616.00,0.00,12,Gas Development, 
   31-029-17707-00-00  ,  Smith; N 1  ,  Pan Energy Company Inc.  ,2009,0.00,301.00,0.00,6,Gas Development, 
   31-121-18589-00-00  ,  Smith; N 216  ,  Smith Wayne L  ,2009,,81.00,0.00,12,Gas Development, 
   31-013-18750-00-00  ,  Smith; P 1  ,  Greenway Energy LLC  ,2009,0.00,348.00,0.00,12,Gas Development, 
   31-013-13202-00-00  ,  Smith; T 1  ,  Greenway Energy LLC  ,2009,0.00,546.00,0.00,12,Gas Development, 
   31-037-19678-00-00  ,  Smith; T. 1  ,  United States Gypsum Company  ,2009,0.00,3188.00,0.00,12,Gas Development, 
   31-013-19285-00-00  ,  Smith; W 1  ,  Greenway Energy LLC  ,2009,0.00,1811.00,0.00,12,Gas Development, 
   31-029-04417-00-00  ,  Smith; W 2  ,  Sescil Douglas W.  ,2009,0.00,200.00,0.00,12,Gas Development, 
   31-013-20111-00-00  ,  Smith; W.O. 1  ,  PPP Future Development Inc.  ,2009,,827.00,0.00,12,Gas Development, 
   31-013-06745-00-00  ,  Smith; W.O. and M.L. 1  ,  PPP Future Development Inc.  ,2009,0.00,299.00,0.00,12,Gas Development, 
   31-013-09605-00-00  ,  Smith; W.O. and M.L. Fee 3  ,  PPP Future Development Inc.  ,2009,0.00,5107.00,35.00,12,Gas Development, 
   31-013-18706-00-00  ,  Smith; X 1  ,  Greenway Energy LLC  ,2009,0.00,1021.00,0.00,12,Gas Development, 
   31-013-18565-00-00  ,  Smith; X 2  ,  Greenway Energy LLC  ,2009,0.00,2567.00,0.00,12,Gas Development, 
   31-009-19771-00-00  ,  Smith-Archer 1  ,  Stedman Energy Inc.  ,2009,0.00,0.00,0.00,0,Gas Development, 
   31-009-19739-00-00  ,  Smith-Archer Unit B1 1  ,  AJAR International Inc.  ,2009,0.00,0.00,0.00,0,Gas Development, 
   31-121-13949-00-00  ,  Smithgall; R 1  ,  Old Acres Farm Inc.  ,2009,0.00,0.00,0.00,0,Gas Development, 
   31-099-23042-00-00  ,  Smith-Griggs 1  ,  Greenway Energy LLC  ,2009,0.00,1712.00,0.00,7,Gas Wildcat, 
   31-099-23041-00-00  ,  Smith-Griggs 2  ,  Greenway Energy LLC  ,2009,0.00,1949.00,0.00,7,Gas Extension, 
   31-099-23043-00-00  ,  Smith-Griggs 4  ,  Greenway Energy LLC  ,2009,0.00,4448.00,0.00,12,Gas Development, 
   31-013-11571-00-00  ,  Smith-Selle 1  ,  PPP Future Development Inc.  ,2009,0.00,2461.00,165.00,12,Gas Development, 
   31-009-16247-00-00  ,  Smith-Waite A-1  ,  Milliman John & Julie  ,2009,0.00,0.00,0.00,0,Gas Development, 
   31-013-18987-00-00  ,  Smith-Wiggers 21246  ,  PPP Future Development Inc.  ,2009,0.00,0.00,0.00,0,Gas Development, 
   31-099-26164-00-00  ,  Smoker 1 (626922)  ,  Greenway Energy LLC  ,2009,0.00,11354.00,452.00,12,Gas Development, 
   31-009-19273-00-00  ,  Smolka 6398  ,  Nucomer Energy LLC  ,2009,0.00,1402.00,0.00,11,Gas Development, 
   31-017-26082-00-00  ,  Smyrna Hillbillies 1-559  ,  Greenway Energy LLC  ,2009,0.00,5258.00,0.00,3,Gas Wildcat, 
   31-037-19458-00-00  ,  Snell 2  ,  United States Gypsum Company  ,2009,0.00,349.00,0.00,12,Gas Development, 
   31-013-10460-00-00  ,  Snell 60  ,  Greenway Energy LLC  ,2009,0.00,0.00,0.00,0,Gas Development, 
   31-013-20775-00-00  ,  Snyder 1  ,  PPP Future Development Inc.  ,2009,0.00,200.00,0.00,1,Gas Development, 
   31-013-12219-00-00  ,  Snyder 1346  ,  Greenway Energy LLC  ,2009,0.00,1732.00,0.00,12,Gas Development, 
   31-029-18267-00-00  ,  Snyder 2  ,  PPP Future Development Inc.  ,2009,,1152.00,0.00,12,Gas Development, 
