   API Well Number, Well Name, Operator Name,Year,OIL (Bbls),GAS (Mcf),WATER (Bbls),Months in Production,Well Type, 
   31-013-14453-00-00  ,  Chautauqua Inst 4  ,  Greenway Energy LLC  ,1991,0.00,607.00,0.00,2, GD , 
   31-013-14454-00-00  ,  Chautauqua Inst 5  ,  Greenway Energy LLC  ,1991,0.00,633.00,0.00,6, GD , 
   31-013-15489-00-00  ,  Chautauqua Inst 6  ,  Greenway Energy LLC  ,1991,0.00,2851.00,130.00,12, GD , 
   31-013-02126-00-00  ,  Chelkalski Marie 2016  ,  National Fuel Gas Supply Corporation  ,1991,0.00,2074.00,0.00,12, GD , 
   31-013-15772-00-00  ,  Cheney 1  ,  PPP Future Development Inc.  ,1991,0.00,7207.00,100.00,0, GD , 
   31-013-19108-00-00  ,  Cheney Unit 1  ,  Shelex Drilling Inc.  ,1991,0.00,13048.00,74.00,12, GD , 
   31-013-19107-00-00  ,  Cheney Unit 2  ,  Shelex Drilling Inc.  ,1991,0.00,4340.00,27.00,12, GD , 
   31-013-11783-00-00  ,  Cherry 1279  ,  Greenway Energy LLC  ,1991,0.00,2237.00,38.00,12, GD , 
   31-013-11805-00-00  ,  Cherry 1280  ,  Greenway Energy LLC  ,1991,0.00,1889.00,12.00,12, GD , 
   31-013-18096-00-00  ,  Chester 1  ,  PPP Future Development Inc.  ,1991,0.00,11982.00,0.00,8, GD , 
   31-029-19892-00-00  ,  Chiavetta 1  ,  Stedman Energy Inc.  ,1991,0.00,4519.00,140.00,12, GD , 
   31-029-19875-00-00  ,  Chiavetta 2  ,  Stedman Energy Inc.  ,1991,0.00,1995.00,120.00,12, GD , 
   31-029-20002-00-00  ,  Chiavetta 3  ,  Stedman Energy Inc.  ,1991,0.00,4924.00,90.00,12, GD , 
   31-029-20001-00-00  ,  Chiavetta 4  ,  Stedman Energy Inc.  ,1991,0.00,1560.00,50.00,12, GD , 
   31-013-11505-00-00  ,  Chilcott 365  ,  Greenway Energy LLC  ,1991,0.00,0.00,0.00,0, GD , 
   31-029-15466-00-00  ,  Chilcott 826  ,  Schreiner Oil and Gas Inc.  ,1991,0.00,668.00,14.00,12, GD , 
   31-013-18686-00-00  ,  Chipman; V 1  ,  Greenway Energy LLC  ,1991,0.00,6943.00,0.00,12, GD , 
   31-009-17268-00-00  ,  Chipmunk 1  ,  Hydrocarbon Generation Inc.  ,1991,0.00,0.00,0.00,0, GD , 
   31-037-20458-00-00  ,  Chittenden 1  ,  Frey Well Drilling Inc.  ,1991,0.00,757.00,0.00,0, GD , 
   31-029-19834-00-00  ,  Choate/Smith 1  ,  PPP Future Development Inc.  ,1991,0.00,0.00,0.00,0, GD , 
   31-029-19769-00-00  ,  Choate/Smith 2  ,  PPP Future Development Inc.  ,1991,0.00,0.00,0.00,0, GD , 
   31-029-19770-00-00  ,  Choate/Smith 4  ,  PPP Future Development Inc.  ,1991,0.00,0.00,0.00,0, GD , 
   31-029-13697-00-00  ,  Christ The King Seminary 1  ,  World Mission Society Church of God  ,1991,0.00,8.00,0.00,12, GD , 
   31-029-18403-00-00  ,  Christ The King Seminary 2  ,  World Mission Society Church of God  ,1991,0.00,1.00,0.00,12, GD , 
   31-099-04600-00-00  ,  Christensen 1  ,  Mumford Catherine  ,1991,0.00,200.00,0.00,12, GD , 
   31-099-21249-00-00  ,  Christensen 1018-1  ,  Greenway Energy LLC  ,1991,0.00,14098.00,0.00,12, GD , 
   31-013-19169-00-00  ,  Christensen; I 1  ,  Greenway Energy LLC  ,1991,0.00,9519.00,800.00,12, GD , 
   31-123-09846-00-00  ,  Christenson 1  ,  Noble Ray A.  ,1991,0.00,0.00,0.00,12, GD , 
   31-099-21297-00-00  ,  Christenson 1125-2  ,  Greenway Energy LLC  ,1991,0.00,8288.00,0.00,12, GD , 
   31-013-12268-00-00  ,  Christian 1354  ,  Greenway Energy LLC  ,1991,0.00,879.00,0.00,11, GD , 
   31-009-18647-00-00  ,  Christian; D 1  ,  Greenway Energy LLC  ,1991,0.00,3230.00,0.00,12, GD , 
   31-013-17933-00-00  ,  Christopherson 1  ,  PPP Future Development Inc.  ,1991,0.00,2577.00,145.00,12, GD , 
