   API Well Number, Well Name, Operator Name,Year,OIL (Bbls),GAS (Mcf),WATER (Bbls),Months in Production,Well Type, 
   31-029-15844-00-00  ,  Boldt 847  ,  Schreiner Oil and Gas Inc.  ,1988,0.00,0.00,0.00,0, GD , 
   31-013-17804-00-00  ,  Bolibrzuch 1  ,  Greenway Energy LLC  ,1988,0.00,10539.00,38.00,9, OD , 
   31-013-12712-00-00  ,  Bolling 1  ,  Greenway Energy LLC  ,1988,0.00,14800.00,155.00,12, GD , 
   31-037-17500-00-00  ,  Bontrager 1  ,  New York Gas And Oil Company Inc.  ,1988,0.00,0.00,0.00,0, GD , 
   31-037-17487-00-00  ,  Bontrager 3  ,  Alden Aurora Gas Company Inc.  ,1988,0.00,1414.00,0.00,12, GD , 
   31-037-19694-00-00  ,  Bontrager; E. 1  ,  United States Gypsum Company  ,1988,0.00,8707.00,26.00,12, GD , 
   31-037-20418-00-00  ,  Bontrager; E. 2  ,  United States Gypsum Company  ,1988,0.00,3688.00,20.00,12, GD , 
   31-009-18090-00-00  ,  Booth; H 1  ,  Greenway Energy LLC  ,1988,0.00,2312.00,0.00,12, GD , 
   31-029-19209-00-00  ,  Booth; L 1  ,  Greenway Energy LLC  ,1988,0.00,2408.00,3.00,6, GD , 
   31-013-12445-00-00  ,  Bordonaro 465  ,  Greenway Energy LLC  ,1988,0.00,0.00,0.00,0, GD , 
   31-009-20953-00-00  ,  Borer 1  ,  PPP Future Development Inc.  ,1988,0.00,0.00,0.00,0, GD , 
   31-013-10998-00-00  ,  Boria 181  ,  Greenway Energy LLC  ,1988,0.00,1374.00,5.00,11, GD , 
   31-009-18614-00-00  ,  Boring; E 6282  ,  Nucomer Energy LLC  ,1988,0.00,8824.00,7.00,12, GD , 
   31-029-16624-00-00  ,  Boris/Metelovski 1  ,  Weil Resources Inc.  ,1988,0.00,2046.00,0.00,12, GD , 
   31-011-13715-00-00  ,  Borkoski 2  ,  Leader Resources Inc.  ,1988,0.00,0.00,0.00,0, GD , 
   31-029-21771-00-00  ,  Borngraber 1  ,  Stedman Energy Inc.  ,1988,0.00,839.00,0.00,11, GD , 
   31-037-11624-00-00  ,  Bososki 1  ,  Alden Aurora Gas Company Inc.  ,1988,0.00,2474.00,0.00,12, GD , 
   31-013-19943-00-00  ,  Bossman 1  ,  Pefley Oil & Gas Inc.  ,1988,0.00,1680.00,45.00,11, GD , 
   31-013-15877-00-00  ,  Boswell 1  ,  Stedman Energy Inc.  ,1988,0.00,918.00,0.00,7, GD , 
   31-013-15878-00-00  ,  Boswell 2  ,  Stedman Energy Inc.  ,1988,0.00,135.00,0.00,7, GD , 
   31-013-04581-00-00  ,  Boswell J L 1  ,  Greenway Energy LLC  ,1988,0.00,304.00,0.00,5, GD , 
   31-029-15763-00-00  ,  Both 1  ,  Cotton Well Drilling Company Inc.  ,1988,0.00,829.00,0.00,8, GD , 
   31-013-17934-00-00  ,  Botka-Wion 7319  ,  Greenway Energy LLC  ,1988,0.00,2518.00,0.00,12, GD , 
   31-013-15348-00-00  ,  Bounty Oil & Gas Ae-140  ,  Appalachian Energy Inc.  ,1988,0.00,0.00,0.00,0, GD , 
   31-013-10344-00-00  ,  Bouquin Richard 1  ,  Greenway Energy LLC  ,1988,0.00,0.00,0.00,0, GD , 
   31-051-17445-00-00  ,  Bovee 199  ,  PXG Energy LLC  ,1988,0.00,2173.00,40.00,12, GD , 
